,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
lp__,-2991.3,3.9497,200.129,-3318.11,-2992.78,-2663.53,2567.4,0.167964,1.00359
baseline[1],-0.55012,0.00361608,0.865383,-2.11967,-0.448839,0.684574,57271.9,3.74682,0.999927
baseline[2],-0.39881,0.00330376,0.816356,-1.88127,-0.303772,0.761903,61057.9,3.9945,1.00001
baseline[3],0.618825,0.00186455,0.517274,-0.299322,0.659708,1.39454,76965.0,5.03517,0.999998
baseline[4],-1.47512,0.00596671,1.29274,-3.8778,-1.27934,0.254464,46940.7,3.07093,0.999984
baseline[5],-13.6925,0.0502663,9.43568,-31.8743,-11.7887,-2.12232,35236.5,2.30523,1.00004
baseline[6],0.104772,0.00249032,0.649057,-1.06386,0.166964,1.05654,67928.8,4.44401,0.999987
baseline[7],-1.47476,0.00592703,1.29549,-3.88063,-1.2764,0.248137,47774.2,3.12546,0.999986
baseline[8],0.38681,0.00219633,0.57794,-0.639648,0.434635,1.24943,69241.8,4.52991,0.999976
baseline[9],-1.47609,0.00614781,1.2945,-3.86906,-1.27597,0.239453,44336.4,2.90055,1.00009
baseline[10],0.724809,0.00174011,0.482382,-0.118412,0.758433,1.45088,76847.5,5.02748,0.999967
baseline[11],0.176366,0.00237047,0.632892,-0.955391,0.229064,1.11851,71283.9,4.66351,0.99999
baseline[12],-0.546135,0.00340364,0.85801,-2.10042,-0.455029,0.687136,63547.3,4.15736,0.999939
baseline[13],0.727001,0.00173051,0.486049,-0.12988,0.764156,1.45883,78888.2,5.16099,0.99996
baseline[14],0.101372,0.00243398,0.651494,-1.06249,0.163796,1.04999,71645.1,4.68714,0.999993
baseline[15],-1.47302,0.00617236,1.29234,-3.86552,-1.27262,0.233742,43838.1,2.86796,1.00013
baseline[16],-0.541849,0.00342885,0.856027,-2.08339,-0.449397,0.68517,62327.3,4.07755,0.999952
baseline[17],-0.537645,0.00340935,0.849196,-2.07681,-0.441973,0.674503,62040.1,4.05876,1.00007
baseline[18],0.100829,0.00254563,0.652356,-1.06296,0.16282,1.0484,65671.8,4.29635,0.999986
baseline[19],0.474419,0.00194508,0.551073,-0.494239,0.519138,1.29653,80268.4,5.25128,0.999943
baseline[20],-0.0953738,0.00265498,0.697524,-1.33548,-0.0321591,0.934065,69023.2,4.51561,0.999946
baseline[21],-0.103944,0.00275579,0.709118,-1.37262,-0.0407391,0.939952,66213.2,4.33177,1.00002
baseline[22],-1.47855,0.00598172,1.29781,-3.88779,-1.27932,0.250089,47073.2,3.0796,0.999973
baseline[23],-0.542978,0.00341483,0.853364,-2.08868,-0.454579,0.691104,62449.6,4.08555,1.00008
baseline[24],-0.0993184,0.00275369,0.700437,-1.36235,-0.0302376,0.927203,64700.7,4.23282,1.00009
baseline[25],-0.549332,0.00349859,0.860805,-2.10059,-0.458543,0.676979,60537.2,3.96044,0.999964
baseline[26],0.535843,0.00211058,0.553582,-0.442581,0.579908,1.36307,68795.8,4.50073,0.999962
baseline[27],-1.47677,0.00599156,1.29427,-3.85456,-1.27873,0.244406,46662.5,3.05273,0.999979
baseline[28],0.176651,0.00246208,0.632394,-0.955192,0.227792,1.11998,65973.8,4.31611,0.999995
baseline[29],-1.48525,0.00614044,1.30134,-3.89397,-1.28626,0.25141,44914.3,2.93836,1.00022
baseline[30],-0.388482,0.00331294,0.816658,-1.85622,-0.296746,0.769456,60764.8,3.97533,1.0
baseline[31],-13.5971,0.0501023,9.38927,-31.7185,-11.6351,-2.14242,35119.5,2.29758,1.00004
baseline[32],0.725689,0.00173236,0.484826,-0.126475,0.76121,1.46084,78324.0,5.12408,0.999982
baseline[33],-13.6301,0.0489691,9.35548,-31.8164,-11.6641,-2.16777,36499.6,2.38786,1.00003
baseline[34],-0.551864,0.00367084,0.862215,-2.11247,-0.453873,0.679555,55169.5,3.60928,1.00003
baseline[35],0.406395,0.00212853,0.56655,-0.600306,0.455529,1.2414,70846.0,4.63485,1.00005
baseline[36],-13.7436,0.0499374,9.49561,-32.1161,-11.7773,-2.14555,36157.1,2.36546,1.0
baseline[37],-0.545416,0.00357001,0.85646,-2.08601,-0.450577,0.681317,57553.9,3.76526,0.99996
baseline[38],0.621582,0.0019033,0.51831,-0.293126,0.664143,1.40142,74159.0,4.8516,0.999957
baseline[39],-0.545999,0.00347866,0.858367,-2.09795,-0.451805,0.683802,60886.4,3.98329,1.00002
baseline[40],0.103498,0.00244444,0.650352,-1.06268,0.167606,1.05398,70784.6,4.63084,0.999989
baseline[41],0.407245,0.00209647,0.567096,-0.597037,0.45417,1.25502,73170.8,4.78695,1.00002
baseline[42],-0.539933,0.00340109,0.853848,-2.07882,-0.450185,0.688314,63026.9,4.12332,0.999987
baseline[43],-0.397325,0.00327539,0.820472,-1.88213,-0.302326,0.768675,62748.1,4.10508,1.00004
baseline[44],0.104367,0.00242119,0.650296,-1.05211,0.164226,1.0572,72137.8,4.71937,0.999942
baseline[45],-13.6688,0.0508211,9.44548,-31.7617,-11.7443,-2.13584,34542.9,2.25985,1.00008
baseline[46],-1.49519,0.00624986,1.32493,-3.96803,-1.28592,0.26035,44941.5,2.94014,0.999989
baseline[47],0.725021,0.00171612,0.48682,-0.138158,0.763475,1.45106,80471.0,5.26454,1.00002
baseline[48],0.0977903,0.00247232,0.654483,-1.06249,0.156208,1.05799,70078.9,4.58467,0.999944
baseline[49],-1.48478,0.00591977,1.2983,-3.87211,-1.28079,0.239308,48099.2,3.14673,0.999969
baseline[50],-0.100049,0.00275482,0.704087,-1.35919,-0.0342676,0.934715,65323.0,4.27353,1.00005
baseline[51],-1.49204,0.00612538,1.30826,-3.92065,-1.29014,0.251213,45616.2,2.98428,1.00003
baseline[52],-1.48357,0.00621712,1.29416,-3.88045,-1.28142,0.23974,43331.0,2.83478,1.00023
baseline[53],-1.47348,0.00588944,1.29243,-3.8706,-1.27369,0.243212,48158.0,3.15057,0.999993
baseline[54],-0.102552,0.00275989,0.711577,-1.36363,-0.0358614,0.940989,66475.3,4.34892,1.00002
baseline[55],-0.106699,0.00270461,0.70931,-1.36609,-0.0411193,0.93344,68780.1,4.4997,0.999984
baseline[56],0.178861,0.0024083,0.630248,-0.934861,0.230142,1.1197,68486.1,4.48047,0.999948
baseline[57],0.40698,0.00207804,0.563542,-0.596792,0.454202,1.246,73543.6,4.81134,1.00001
baseline[58],-0.54283,0.00340819,0.86562,-2.11619,-0.448143,0.690781,64507.1,4.22015,0.999966
baseline[59],-1.47657,0.00610629,1.2995,-3.87356,-1.27162,0.249752,45289.3,2.9629,1.00013
baseline[60],0.379796,0.00228175,0.583343,-0.649378,0.427029,1.25363,65360.1,4.27596,0.999965
baseline[61],0.472942,0.00207727,0.547638,-0.491763,0.520425,1.28726,69502.4,4.54696,0.999947
baseline[62],-0.102369,0.00266255,0.707122,-1.35945,-0.0375102,0.935734,70533.0,4.61438,1.0
baseline[63],0.405201,0.00215941,0.570362,-0.593494,0.452566,1.25438,69763.9,4.56406,1.00004
baseline[64],-1.48991,0.00628629,1.31276,-3.92912,-1.28056,0.236428,43609.3,2.85299,0.999961
baseline[65],0.915321,0.00163993,0.460603,0.10873,0.946689,1.61201,78886.4,5.16087,0.99995
baseline[66],-0.10362,0.00290274,0.708753,-1.37183,-0.0343464,0.937433,59617.3,3.90026,0.999999
baseline[67],0.403868,0.00211312,0.568803,-0.605233,0.451777,1.24636,72456.3,4.7402,0.999957
baseline[68],-13.7158,0.0507546,9.50669,-32.0364,-11.736,-2.121,35083.9,2.29525,1.00004
baseline[69],-0.393564,0.00347164,0.821166,-1.87678,-0.300326,0.774961,55949.1,3.66028,0.999935
baseline[70],-1.46739,0.00607921,1.28762,-3.8533,-1.26717,0.239751,44862.1,2.93495,1.00002
baseline[71],0.47527,0.00200956,0.549349,-0.491864,0.523048,1.28955,74730.0,4.88896,0.999981
baseline[72],-13.7534,0.0499187,9.44782,-31.7866,-11.8643,-2.1254,35821.0,2.34347,1.00011
baseline[73],0.407293,0.00203273,0.565713,-0.591396,0.449876,1.25407,77452.1,5.06703,0.999995
baseline[74],0.103067,0.0024745,0.649382,-1.06065,0.161186,1.05891,68869.1,4.50552,0.99998
baseline[75],-1.47991,0.00601975,1.29986,-3.86795,-1.28248,0.258519,46627.2,3.05043,0.999969
baseline[76],-0.544392,0.00348606,0.852956,-2.09316,-0.44742,0.675328,59866.5,3.91656,0.999974
baseline[77],0.18285,0.00235453,0.625855,-0.928785,0.237061,1.11401,70654.6,4.62233,1.00001
baseline[78],0.100604,0.00251139,0.650225,-1.06625,0.163344,1.05321,67034.5,4.3855,0.999967
baseline[79],-0.5432,0.00350629,0.85687,-2.09254,-0.447577,0.684154,59722.0,3.90711,0.999991
baseline[80],-1.47045,0.00617291,1.29479,-3.86409,-1.27152,0.262004,43996.6,2.87833,1.00001
baseline[81],0.408293,0.00217573,0.563737,-0.589557,0.455291,1.24876,67134.3,4.39203,0.999981
baseline[82],-0.390585,0.00323445,0.820698,-1.88614,-0.2979,0.776691,64382.3,4.21199,1.00003
baseline[83],0.382022,0.00219351,0.582909,-0.655114,0.430728,1.24919,70619.2,4.62002,0.999946
baseline[84],0.406726,0.00206285,0.565174,-0.59254,0.452766,1.24444,75063.4,4.91076,0.999948
baseline[85],-0.09931,0.00270321,0.698787,-1.34024,-0.0346632,0.924419,66823.4,4.37169,0.999975
baseline[86],0.474532,0.00198939,0.545758,-0.491289,0.518967,1.28911,75259.3,4.92358,1.00005
baseline[87],0.405384,0.00206449,0.567514,-0.594071,0.451804,1.25235,75566.5,4.94368,0.999997
baseline[88],-1.47956,0.00582788,1.28816,-3.89184,-1.28504,0.238312,48855.8,3.19622,0.999974
baseline[89],-1.46709,0.00592697,1.28344,-3.85516,-1.26801,0.241228,46890.7,3.06766,0.99994
baseline[90],-1.47739,0.00592718,1.29126,-3.89678,-1.2775,0.241224,47460.7,3.10495,1.00001
baseline[91],0.406275,0.00216331,0.566882,-0.595937,0.452128,1.2507,68667.2,4.49231,0.999967
baseline[92],-1.46589,0.00573577,1.27554,-3.83044,-1.27436,0.240384,49454.2,3.23537,0.999995
baseline[93],-0.400952,0.00331836,0.822779,-1.89032,-0.308426,0.767814,61477.8,4.02197,1.00004
baseline[94],0.379903,0.00228861,0.584872,-0.653671,0.422261,1.25742,65309.6,4.27266,1.00005
baseline[95],-13.6322,0.0503429,9.37324,-31.6554,-11.7127,-2.1275,34665.9,2.2679,0.999998
baseline[96],0.103669,0.00246092,0.652895,-1.06858,0.163577,1.05442,70386.9,4.60482,0.999935
baseline[97],-0.547434,0.00348687,0.856762,-2.10396,-0.452161,0.679022,60373.9,3.94976,1.00004
baseline[98],-0.545478,0.00349515,0.861272,-2.09827,-0.451012,0.685301,60722.5,3.97256,1.0
baseline[99],0.61975,0.00184084,0.516513,-0.296244,0.660274,1.39381,78728.1,5.15052,0.999935
baseline[100],-1.48469,0.00604179,1.30291,-3.90276,-1.28171,0.240685,46504.8,3.04241,1.00002
baseline[101],-0.0929325,0.00264358,0.700753,-1.3413,-0.0260643,0.937604,70266.2,4.59693,1.00008
baseline[102],0.104056,0.00249954,0.65099,-1.0636,0.164924,1.05532,67831.0,4.43761,1.00002
baseline[103],0.727715,0.00173001,0.486147,-0.124446,0.765905,1.45863,78965.1,5.16602,0.999924
baseline[104],-0.395242,0.0034818,0.817562,-1.87867,-0.300432,0.758643,55135.7,3.60706,1.00003
baseline[105],0.103049,0.00242545,0.648498,-1.0566,0.164331,1.0506,71487.6,4.67683,1.00003
baseline[106],-0.397041,0.00328159,0.815682,-1.87204,-0.30348,0.764441,61783.4,4.04197,0.999983
baseline[107],-0.550013,0.00349184,0.858943,-2.09256,-0.45578,0.678709,60509.0,3.95859,1.00013
baseline[108],-1.47386,0.00595243,1.28409,-3.85273,-1.27602,0.252807,46537.7,3.04457,0.999956
baseline[109],0.100706,0.00247769,0.652756,-1.07232,0.165449,1.05158,69407.9,4.54078,0.999968
baseline[110],0.102636,0.00246176,0.651038,-1.06241,0.163849,1.05687,69939.1,4.57553,0.999957
baseline[111],0.0985439,0.00242936,0.646328,-1.06025,0.156675,1.04969,70781.9,4.63067,0.999976
baseline[112],0.100421,0.00243114,0.649886,-1.06268,0.163267,1.05503,71458.5,4.67493,1.00001
baseline[113],-0.547576,0.00345503,0.858805,-2.09867,-0.455849,0.686493,61785.3,4.04209,0.999961
baseline[114],-0.543256,0.0034597,0.850093,-2.07411,-0.453206,0.686539,60375.0,3.94983,1.00001
baseline[115],-0.543732,0.00351807,0.863028,-2.10515,-0.44577,0.688438,60178.6,3.93697,0.999983
baseline[116],-0.101309,0.00272584,0.704346,-1.35403,-0.0366667,0.933391,66768.5,4.3681,0.999964
baseline[117],-0.0996042,0.00277341,0.705789,-1.36042,-0.0358699,0.942822,64762.1,4.23684,0.999976
baseline[118],-1.47024,0.00588938,1.28645,-3.83229,-1.27798,0.246212,47713.8,3.12151,1.00005
baseline[119],-0.399238,0.00338879,0.820702,-1.88653,-0.304598,0.767632,58651.9,3.8371,0.999976
baseline[120],0.61987,0.00188854,0.515311,-0.292454,0.660409,1.39009,74454.2,4.87091,0.999943
baseline[121],0.178429,0.00241823,0.629797,-0.937018,0.229276,1.10992,67827.7,4.4374,0.999952
baseline[122],0.102566,0.00242546,0.647274,-1.05743,0.163312,1.04993,71217.7,4.65917,1.00008
baseline[123],0.100835,0.00249706,0.654188,-1.07325,0.161343,1.06196,68635.0,4.49021,0.999985
baseline[124],-0.542074,0.00349103,0.854795,-2.08711,-0.447445,0.684412,59953.7,3.92226,1.00004
baseline[125],-1.48083,0.00626538,1.29896,-3.8934,-1.27607,0.235869,42983.0,2.81202,1.00004
baseline[126],-1.48282,0.00602632,1.29889,-3.90124,-1.28289,0.249938,46456.1,3.03923,1.00006
baseline[127],0.104003,0.00244596,0.64764,-1.05348,0.163936,1.05312,70107.9,4.58657,0.999961
baseline[128],0.725756,0.00176046,0.482332,-0.115027,0.763268,1.44831,75065.1,4.91087,1.00002
baseline[129],-1.48468,0.00605367,1.30339,-3.89632,-1.28237,0.241339,46356.3,3.0327,0.999995
baseline[130],0.102331,0.00249475,0.650787,-1.06657,0.165563,1.05088,68049.3,4.45189,0.99998
baseline[131],0.911278,0.00156153,0.443065,0.135817,0.943155,1.58175,80507.0,5.26689,0.999971
baseline[132],-0.53841,0.00342433,0.850013,-2.06398,-0.450022,0.685077,61616.9,4.03107,0.999926
baseline[133],-0.398736,0.00334673,0.820004,-1.8892,-0.30937,0.766895,60033.1,3.92746,0.999964
